Id,Label,d3,d2,d1,d0,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,Filter,X,Y,Size,Color
32PaECIhlV46TtNdKP34GX,32PaECIhlV46TtNdKP34GX,,30,69671,Ben Barnes,0,0,0,0,3,,39.577744,-218.963669,10,"#00bd94"
7g77hiv179GYIwhfCgETGy,7g77hiv179GYIwhfCgETGy,,50,50751,Brie Larson,0,0,0,0,3,,40.22065,-341.287109,10,"#00bd94"
5HMNsIi6AQplZELW9jeLjd,5HMNsIi6AQplZELW9jeLjd,,30,5187,Eric Zayne,0,0,0,0,3,,82.152374,132.898972,10,"#00bd94"
0MO42HJhUFrv078qALxpPQ,0MO42HJhUFrv078qALxpPQ,movie tunes,45,33648,Luke Evans,0,0,0,0,3,,85.41964,14.140569,10,"#00bd94"
7oAoGc2k7201dlU7mkhlDp,7oAoGc2k7201dlU7mkhlDp,"gymcore, heavy alternative",52,314453,No Resolve,0,0,0,0,4,,-94.980919,-393.096161,10,"#ff5584"
2q3GG88dVwuQPF4FmySr9I,2q3GG88dVwuQPF4FmySr9I,"modern alternative rock, pov: indie",65,1431234,The Score,0,0,0,0,3,,231.43219,-378.765808,10,"#00bd94"
3OsHwkxpSIEqqmYoQxZTT5,3OsHwkxpSIEqqmYoQxZTT5,hollywood,43,130103,Johnny Depp,0,0,0,0,3,,130.897568,-432.974518,10,"#00bd94"
7LIy7KinYq7a83dUH6kvxT,7LIy7KinYq7a83dUH6kvxT,"bossbeat, modern alternative rock, rebel blues",52,281003,Zayde Wølf,0,0,0,0,3,,60.112953,-103.127769,10,"#00bd94"
62uiaKAdkbY94iXJnXyKzc,62uiaKAdkbY94iXJnXyKzc,,61,755196,Peyton Parrish,15,0.131639,0.212679,7612,4,true,-263.085236,-166.516495,68.824722,"#ff5584"
4FmJD0mpgQ70SNt2EKK8tq,4FmJD0mpgQ70SNt2EKK8tq,"antiviral pop, irish metal",58,343202,Miracle Of Sound,0,0,0,0,4,,-222.051498,-419.634644,10,"#ff5584"
7fM0h2CG7zKqKc0jEa1b4R,7fM0h2CG7zKqKc0jEa1b4R,gymcore,59,430520,Citizen Soldier,0,0,0,0,4,,-525.696777,-426.584839,10,"#ff5584"
2IeMt1qx6ZVt1HFjdfE5tl,2IeMt1qx6ZVt1HFjdfE5tl,"metal cover, otacore",58,388631,Jonathan Young,0,0,0,0,4,,-16.6535,65.280495,10,"#ff5584"
78u21hh7csceByaxzd7pbh,78u21hh7csceByaxzd7pbh,gymcore,51,239015,State of Mine,0,0,0,0,4,,-186.154449,-321.281006,10,"#ff5584"
3uliAYf4KyTkBpVf3BiWVv,3uliAYf4KyTkBpVf3BiWVv,viking folk,50,296423,SKÁLD,0,0,0,0,4,,-117.168312,107.886459,10,"#ff5584"
0WPCPYm5IDNtQjuJOGNPcy,0WPCPYm5IDNtQjuJOGNPcy,"melodic metal, power metal, swedish heavy metal",55,241154,Brothers of Metal,0,0,0,0,4,,-66.218903,-153.755142,10,"#ff5584"
2hwZ6O8nd7zKSUqRhYPo5U,2hwZ6O8nd7zKSUqRhYPo5U,shanty,53,118623,Colm R. McGuinness,0,0,0,0,4,,-144.172058,-0.346482,10,"#ff5584"
09Z51O0q4AwHl7FjUUlFKw,09Z51O0q4AwHl7FjUUlFKw,"german metal, hurdy-gurdy, medieval rock, neue deutsche harte",53,242605,Saltatio Mortis,0,0,0,0,4,,-300.285919,-263.018463,10,"#ff5584"
0eI3X5rAzHRZVe5FPk4MN1,0eI3X5rAzHRZVe5FPk4MN1,"alternative metal, metal, post-grunge",63,714467,Bad Wolves,0,0,0,0,4,,-433.225281,-265.654175,10,"#ff5584"
0Gtv3Wi6jj0lW1Po5QbIGS,0Gtv3Wi6jj0lW1Po5QbIGS,,51,91142,Sail North,0,0,0,0,4,,-420.183167,-392.956726,10,"#ff5584"
3D8Amh1jMYCSSj6aq9pxtl,3D8Amh1jMYCSSj6aq9pxtl,,42,41238,Ryan Jesse,0,0,0,0,4,,-62.398823,-280.118866,10,"#ff5584"
1S4xN9nvW5vlFoRBisdxUL,1S4xN9nvW5vlFoRBisdxUL,pixie,49,213379,Halocene,0,0,0,0,4,,-177.372864,200.527863,10,"#ff5584"
4HrkLxQHZ5mgCtIVpiH5QX,4HrkLxQHZ5mgCtIVpiH5QX,rap rock,59,506880,From Ashes to New,0,0,0,0,4,,-633.40332,-388.792725,10,"#ff5584"
67ps5pbKVO7V9Fcb4lTIXz,67ps5pbKVO7V9Fcb4lTIXz,"fantasy metal, italian folk metal, italian power metal, middle earth, tolkien metal",52,341480,Wind Rose,0,0,0,0,4,,-41.186588,-48.341339,10,"#ff5584"
2hmePXeTr2b7cdRAtRjvPq,2hmePXeTr2b7cdRAtRjvPq,,57,220310,Jeris Johnson,0,0,0,0,4,,-374.058563,-160.492523,10,"#ff5584"
7Lj8CmxeAuJ2c2I6YxA6AJ,7Lj8CmxeAuJ2c2I6YxA6AJ,medieval rock,48,107760,dArtagnan,0,0,0,0,4,,-160.262909,-214.531586,10,"#ff5584"
2Ct54gNxKnYLnXk9HhviMI,2Ct54gNxKnYLnXk9HhviMI,medieval rock,51,185111,Feuerschwanz,0,0,0,0,4,,-46.791668,192.190384,10,"#ff5584"
0HlC5yAd9HNvemXZhujTqG,0HlC5yAd9HNvemXZhujTqG,,28,23075,Volfgang Twins,0,0,0,0,4,,-185.873764,-92.620178,10,"#ff5584"
2vhrwzjf9H3icunkVFi9tq,2vhrwzjf9H3icunkVFi9tq,swedish alternative rock,59,278238,Smash Into Pieces,14,0.143605,0.22857,7521,4,,-745.256104,-466.723694,68.121475,"#ff5584"
1E68fQlo7IbZBUIoi2OxIN,1E68fQlo7IbZBUIoi2OxIN,,34,7230,APOC,0,0,0,0,4,,-842.184509,-549.144043,10,"#ff5584"
0FHW0Lp33r3fvIG0HL4mW0,0FHW0Lp33r3fvIG0HL4mW0,swedish alternative rock,52,85726,Self Deception,0,0,0,0,4,,-664.837402,-512.133484,10,"#ff5584"
1j55zNwCQ3jhbNsnmrOrwr,1j55zNwCQ3jhbNsnmrOrwr,"gymcore, post-screamo",43,62909,Written by Wolves,0,0,0,0,4,,-816.253052,-724.219788,10,"#ff5584"
4fnono0JCZFAeeaecrI7kg,4fnono0JCZFAeeaecrI7kg,,50,132610,Solence,0,0,0,0,4,,-818.662048,-954.797607,10,"#ff5584"
2uMWUtg8XLpJxNSqbGOkl1,2uMWUtg8XLpJxNSqbGOkl1,rebel blues,49,135872,All Good Things,0,0,0,0,4,,-730.158875,-822.404175,10,"#ff5584"
